date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:23:47	8201/8201	---MC-	200	added ('OK')	image/png	date:Tue,%2023%20Mar%202021%2007:23:46%20GMT	https://www.tripadvisor.com.au/img/cdsi/img2/awards/v2/tchotel_2020_LL-14348-2.png	D:/Downloads/CIH/CIH/www.tripadvisor.com.au/img/cdsi/img2/awards/v2/tchotel_2020_LL-14348-2.png	(from https://www.canterburyinternational.com.au/)
18:24:50	526736/526736	---M--	200	added ('OK')	image/jpeg	etag:%2280990-59f73f788a5e1%22	http://www.canterburyinternational.com.au/wp-content/uploads/2020/02/pres-rm-210-bed-bW.jpg	D:/Downloads/CIH/CIH/www.canterburyinternational.com.au/wp-content/uploads/2020/02/pres-rm-210-bed-bW.jpg	(from https://www.canterburyinternational.com.au/)
18:25:17	580770/580770	---M--	200	added ('OK')	image/png	etag:%228dca2-5abb9f30e41d0%22	http://www.canterburyinternational.com.au/wp-content/uploads/2020/07/img1.png	D:/Downloads/CIH/CIH/www.canterburyinternational.com.au/wp-content/uploads/2020/07/img1.png	(from https://www.canterburyinternational.com.au/)
18:25:28	901291/901291	---MC-	200	added ('OK')	text/html	date:Tue,%2023%20Mar%202021%2007:24:55%20GMT	https://www.canterburyinternational.com.au/accommodation-2/	D:/Downloads/CIH/CIH/www.canterburyinternational.com.au/accommodation-2/index.html	(from https://www.canterburyinternational.com.au/)
18:26:10	821683/821683	---MC-	200	added ('OK')	text/html	date:Tue,%2023%20Mar%202021%2007:25:32%20GMT	https://www.canterburyinternational.com.au/melbourne-conference-venues/	D:/Downloads/CIH/CIH/www.canterburyinternational.com.au/melbourne-conference-venues/index.html	(from https://www.canterburyinternational.com.au/)
18:26:14	11778/11778	---M--	200	added ('OK')	application/javascript	etag:%222e02-59efb64473e90%22	https://www.canterburyinternational.com.au/wp-content/themes/clarion/assets/js/jquery.matchHeight.js	D:/Downloads/CIH/CIH/www.canterburyinternational.com.au/wp-content/themes/clarion/assets/js/jquery.matchHeight.js	(from https://www.canterburyinternational.com.au/)
18:27:08	826733/826733	---MC-	200	added ('OK')	text/html	date:Tue,%2023%20Mar%202021%2007:26:15%20GMT	https://www.canterburyinternational.com.au/melbourne-conference-venues/functions/	D:/Downloads/CIH/CIH/www.canterburyinternational.com.au/melbourne-conference-venues/functions/index.html	(from https://www.canterburyinternational.com.au/)
18:27:14	902473/902473	---M--	200	added ('OK')	image/png	etag:%22dc549-5abb6ec171fdb%22	https://www.canterburyinternational.com.au/wp-content/uploads/2020/07/m_image.png	D:/Downloads/CIH/CIH/www.canterburyinternational.com.au/wp-content/uploads/2020/07/m_image.png	(from https://www.canterburyinternational.com.au/)
18:27:17	823978/823978	---MC-	200	added ('OK')	text/html	date:Tue,%2023%20Mar%202021%2007:26:20%20GMT	https://www.canterburyinternational.com.au/melbourne-conference-venues/events/	D:/Downloads/CIH/CIH/www.canterburyinternational.com.au/melbourne-conference-venues/events/index.html	(from https://www.canterburyinternational.com.au/)
18:27:41	134932/134932	---M--	200	added ('OK')	image/png	etag:%2220f14-5bd28a9fa4b2f%22	https://www.canterburyinternational.com.au/wp-content/uploads/2021/03/lunch-1.png	D:/Downloads/CIH/CIH/www.canterburyinternational.com.au/wp-content/uploads/2021/03/lunch-1.png	(from https://www.canterburyinternational.com.au/)
18:27:47	137351/137351	---M--	200	added ('OK')	image/png	etag:%2221887-5bd28a991b7c1%22	https://www.canterburyinternational.com.au/wp-content/uploads/2021/03/dinner-1.png	D:/Downloads/CIH/CIH/www.canterburyinternational.com.au/wp-content/uploads/2021/03/dinner-1.png	(from https://www.canterburyinternational.com.au/)
18:28:03	13964/13964	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Mar%202021%2007:27:50%20GMT	https://pixboost.com/api/2/img/http://canterburyinternational.com.au/wp-content/uploads/2018/03/accommodation-1.jpg/resize?size=300&auth=MTU3MzA4OTk1MA__	D:/Downloads/CIH/CIH/pixboost.com/api/2/img/http_/canterburyinternational.com.au/wp-content/uploads/2018/03/accommodation-1.jpg/resize92b7.jpg	(from https://www.canterburyinternational.com.au/)
18:28:09	819672/819672	---MC-	200	added ('OK')	text/html	date:Tue,%2023%20Mar%202021%2007:27:19%20GMT	https://www.canterburyinternational.com.au/specials/	D:/Downloads/CIH/CIH/www.canterburyinternational.com.au/specials/index.html	(from https://www.canterburyinternational.com.au/)
18:28:18	17085/17085	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Mar%202021%2007:28:11%20GMT	https://pixboost.com/api/2/img/http://canterburyinternational.com.au/wp-content/uploads/2018/03/conferences.jpg/resize?size=300&auth=MTU3MzA4OTk1MA__	D:/Downloads/CIH/CIH/pixboost.com/api/2/img/http_/canterburyinternational.com.au/wp-content/uploads/2018/03/conferences.jpg/resize92b7.jpg	(from https://www.canterburyinternational.com.au/)
18:28:21	821976/821976	---MC-	200	added ('OK')	text/html	date:Tue,%2023%20Mar%202021%2007:27:46%20GMT	https://www.canterburyinternational.com.au/weddings/	D:/Downloads/CIH/CIH/www.canterburyinternational.com.au/weddings/index.html	(from https://www.canterburyinternational.com.au/)
18:28:22	25858/25858	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Mar%202021%2007:28:21%20GMT	https://pixboost.com/api/2/img/http://canterburyinternational.com.au/wp-content/uploads/2018/03/olivers-restaurant.jpg/resize?size=300&auth=MTU3MzA4OTk1MA__	D:/Downloads/CIH/CIH/pixboost.com/api/2/img/http_/canterburyinternational.com.au/wp-content/uploads/2018/03/olivers-restaurant.jpg/resize92b7.jpg	(from https://www.canterburyinternational.com.au/)
18:28:23	823402/823402	---MC-	200	added ('OK')	text/html	date:Tue,%2023%20Mar%202021%2007:28:07%20GMT	https://www.canterburyinternational.com.au/weddings/wedding-ceremonies/	D:/Downloads/CIH/CIH/www.canterburyinternational.com.au/weddings/wedding-ceremonies/index.html	(from https://www.canterburyinternational.com.au/)
18:28:26	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Mar%202021%2007:28:27%20GMT	https://www.canterburyinternational.com.au/dining/olivers-restaurant/	D:/Downloads/CIH/CIH/www.canterburyinternational.com.au/dining/olivers-restaurant/index.html	(from https://www.canterburyinternational.com.au/)
18:28:27	1352/1352	---M--	200	added ('OK')	image/gif	etag:%22548-59607c94fc673%22	https://www.canterburyinternational.com.au/wp-content/uploads/2018/03/icon-air.gif	D:/Downloads/CIH/CIH/www.canterburyinternational.com.au/wp-content/uploads/2018/03/icon-air.gif	(from https://www.canterburyinternational.com.au/)
18:28:29	822283/822283	---MC-	200	added ('OK')	text/html	date:Tue,%2023%20Mar%202021%2007:28:23%20GMT	https://www.canterburyinternational.com.au/weddings/wedding-packages/	D:/Downloads/CIH/CIH/www.canterburyinternational.com.au/weddings/wedding-packages/index.html	(from https://www.canterburyinternational.com.au/)
18:28:30	1367/1367	---M--	200	added ('OK')	image/gif	etag:%22557-59607c94f9b7b%22	https://www.canterburyinternational.com.au/wp-content/uploads/2018/03/icon-train.gif	D:/Downloads/CIH/CIH/www.canterburyinternational.com.au/wp-content/uploads/2018/03/icon-train.gif	(from https://www.canterburyinternational.com.au/)
18:28:33	821371/821371	---MC-	200	added ('OK')	text/html	date:Tue,%2023%20Mar%202021%2007:28:28%20GMT	https://www.canterburyinternational.com.au/about/facilities/	D:/Downloads/CIH/CIH/www.canterburyinternational.com.au/about/facilities/index.html	(from https://www.canterburyinternational.com.au/)
18:28:33	850018/850018	---MC-	200	added ('OK')	text/html	date:Tue,%2023%20Mar%202021%2007:28:33%20GMT	https://www.canterburyinternational.com.au/attractions/	D:/Downloads/CIH/CIH/www.canterburyinternational.com.au/attractions/index.html	(from https://www.canterburyinternational.com.au/)
18:28:34	915/915	---M--	200	added ('OK')	image/gif	etag:%22393-59607c94f6c9b%22	https://www.canterburyinternational.com.au/wp-content/uploads/2018/03/icon-parking.gif	D:/Downloads/CIH/CIH/www.canterburyinternational.com.au/wp-content/uploads/2018/03/icon-parking.gif	(from https://www.canterburyinternational.com.au/)
18:28:34	818123/818123	---MC-	200	added ('OK')	text/html	date:Tue,%2023%20Mar%202021%2007:28:29%20GMT	https://www.canterburyinternational.com.au/about/	D:/Downloads/CIH/CIH/www.canterburyinternational.com.au/about/index.html	(from https://www.canterburyinternational.com.au/)
18:28:35	850/850	---M--	200	added ('OK')	image/png	etag:%22352-58207459f4100%22	https://www.canterburyinternational.com.au/wp-content/themes/clarion/assets/images/24/btn-instagram.png	D:/Downloads/CIH/CIH/www.canterburyinternational.com.au/wp-content/themes/clarion/assets/images/24/btn-instagram.png	(from https://www.canterburyinternational.com.au/)
18:28:36	820805/820805	---MC-	200	added ('OK')	text/html	date:Tue,%2023%20Mar%202021%2007:28:36%20GMT	https://www.canterburyinternational.com.au/contact/	D:/Downloads/CIH/CIH/www.canterburyinternational.com.au/contact/index.html	(from https://www.canterburyinternational.com.au/)
18:28:36	735/735	---M--	200	added ('OK')	image/png	etag:%222df-58207459f4100%22	https://www.canterburyinternational.com.au/wp-content/themes/clarion/assets/images/22/btn-facebook.png	D:/Downloads/CIH/CIH/www.canterburyinternational.com.au/wp-content/themes/clarion/assets/images/22/btn-facebook.png	(from https://www.canterburyinternational.com.au/)
18:28:37	820549/820549	---MC-	200	added ('OK')	text/html	date:Tue,%2023%20Mar%202021%2007:28:29%20GMT	https://www.canterburyinternational.com.au/about/customer-reviews/	D:/Downloads/CIH/CIH/www.canterburyinternational.com.au/about/customer-reviews/index.html	(from https://www.canterburyinternational.com.au/)
18:28:37	1719/1719	---M--	200	added ('OK')	image/png	etag:%226b7-5820730c2ad80%22	https://www.canterburyinternational.com.au/wp-content/themes/clarion/assets/images/linkedin-round.png	D:/Downloads/CIH/CIH/www.canterburyinternational.com.au/wp-content/themes/clarion/assets/images/linkedin-round.png	(from https://www.canterburyinternational.com.au/)
18:28:38	7463/7463	---M--	200	added ('OK')	image/png	etag:%221d27-58207459f4100%22	https://www.canterburyinternational.com.au/wp-content/themes/clarion/assets/images/39/tripadvisor.png	D:/Downloads/CIH/CIH/www.canterburyinternational.com.au/wp-content/themes/clarion/assets/images/39/tripadvisor.png	(from https://www.canterburyinternational.com.au/)
18:28:38	19459/19459	---M--	200	added ('OK')	image/png	etag:%224c03-5bd13446a4df5%22	https://www.canterburyinternational.com.au/wp-content/uploads/2021/03/1.png	D:/Downloads/CIH/CIH/www.canterburyinternational.com.au/wp-content/uploads/2021/03/1.png	(from https://www.canterburyinternational.com.au/)
